ID,Type,Fellowship Win Rate,Fellowship Games Played,Fellowship Rating,Movie Win Rate,Movie Games Played,Movie Rating,Expanded Win Rate,Expanded Games Played,Expanded Rating
Aragorn: Heir to the White City, drawDeck,0.5240384615384616,832,High Play Rate with Average Strength,0.375,128,Redeemable,0.6,10,Sleeper or Niche Power Picks
Bree Streets, site,0.5377532228360957,543,High Play Rate with Average Strength,,,N/A,,,N/A
Ford of Bruinen, site,0.5370892018779343,1065,High Play Rate with Average Strength,,,N/A,,,N/A
Hollin, site,0.4959183673469388,490,High Play Rate with Average Strength,,,N/A,,,N/A
Valley of the Silverlode, site,0.456,375,High Play Rate with Average Strength,,,N/A,,,N/A
Anduin Wilderland, site,0.5314834578441836,937,High Play Rate with Average Strength,,,N/A,,,N/A
101_63, site,0.5348258706467661,804,High Play Rate with Average Strength,,,N/A,,,N/A
Summit of Amon Hen, site,0.5132806891600862,1393,High Play Rate with Average Strength,,,N/A,,,N/A
Ranger's Sword, drawDeck,0.5176178660049627,2015,High Play Rate with Average Strength,0.4528301886792453,371,High Play Rate with Average Strength,0.36363636363636365,11,Redeemable
The Saga of Elendil, drawDeck,0.5136186770428015,514,High Play Rate with Average Strength,0.34023668639053256,338,Redeemable,0.43478260869565216,92,High Play Rate with Average Strength
All Blades Perish, drawDeck,0.42857142857142855,105,Average,0.4605263157894737,152,Average,0.5238095238095238,21,Average
Black Breath, drawDeck,0.5574324324324325,592,High Play Rate with Average Strength,0.4695121951219512,164,High Play Rate with Average Strength,0.49019607843137253,51,High Play Rate with Average Strength
Blade Tip, drawDeck,0.5558698727015559,707,High Play Rate with Average Strength,0.5304347826086957,115,Average,0.5,50,High Play Rate with Average Strength
Morgul Blade, drawDeck,0.41044776119402987,134,Average,,4,Unplayed,0.5,4,Low Play Rate with Average Strength
Morgul Gates, drawDeck,0.5531295487627366,687,High Play Rate with Average Strength,0.48412698412698413,126,Average,0.2916666666666667,24,Trash
Nazgul Sword, drawDeck,0.568935427574171,573,High Play Rate with Average Strength,0.46808510638297873,47,Low Play Rate with Average Strength,0.3783783783783784,37,Redeemable
The Pale Blade, drawDeck,0.5575221238938053,565,High Play Rate with Average Strength,0.5450643776824035,233,High Play Rate with Average Strength,0.41935483870967744,31,Average
Relentless Charge, drawDeck,0.5827067669172933,532,High Play Rate with Average Strength,0.32142857142857145,28,Redeemable,0.5483870967741935,31,Average
Threshold of Shadow, drawDeck,0.5144508670520231,173,Average,0.15384615384615385,13,Trash,1,1,Unplayed
Ulaire Attea: Keeper of Dol Guldur, drawDeck,0.5609756097560976,656,High Play Rate with Average Strength,0.5933333333333334,150,Average,0.34615384615384615,26,Redeemable
Ulaire Toldea: Messenger of Morgul, drawDeck,0.5273556231003039,658,High Play Rate with Average Strength,0.4562043795620438,274,High Play Rate with Average Strength,0.5,24,Average
The Witch-king: Lord of Angmar, drawDeck,0.5599343185550082,609,High Play Rate with Average Strength,0.3541666666666667,48,Redeemable,0.25,12,Trash
Wreathed in Shadow, drawDeck,0.6065989847715736,394,Meta Dominating Power Picks,0.40476190476190477,42,Low Play Rate with Average Strength,0.5,22,Average
Merry: Friend to Sam, drawDeck,0.5965092402464066,974,High Play Rate with Average Strength,0.5368620037807184,529,High Play Rate with Average Strength,0.36666666666666664,60,Redeemable
Pippin: Hobbit of Some Intelligence, drawDeck,0.6358024691358025,486,Meta Dominating Power Picks,0.44680851063829785,94,Average,0.35714285714285715,28,Redeemable
Asfaloth, drawDeck,0.4964336661911555,701,High Play Rate with Average Strength,0.4714285714285714,630,High Play Rate with Average Strength,0.3488372093023256,43,Redeemable
Boromir: Son of Denethor, drawDeck,0.588495575221239,678,High Play Rate with Average Strength,0.4766146993318486,449,High Play Rate with Average Strength,0.3333333333333333,9,Redeemable
Arwen: Daughter of Elrond, drawDeck,0.5163868904876099,1251,High Play Rate with Average Strength,0.52,25,Low Play Rate with Average Strength,0.32,25,Redeemable
Elven Bow, drawDeck,0.4429223744292237,438,High Play Rate with Average Strength,0.40816326530612246,441,High Play Rate with Average Strength,0.4132231404958678,121,High Play Rate with Average Strength
Gwemegil, drawDeck,0.5143824027072758,1182,High Play Rate with Average Strength,0.43506493506493504,616,High Play Rate with Average Strength,0.3018867924528302,53,Redeemable
The Last Alliance of Elves and Men, drawDeck,0.5385365853658537,1025,High Play Rate with Average Strength,0.48175182481751827,685,High Play Rate with Average Strength,0.3793103448275862,58,Redeemable
Legolas: Greenleaf , drawDeck,0.6173469387755102,196,Standard Power Picks,0.5053763440860215,93,Average,,,N/A
The Tale of Gil-galad, drawDeck,0.45308310991957107,373,High Play Rate with Average Strength,0.4639696586599241,791,High Play Rate with Average Strength,0.4186046511627907,86,High Play Rate with Average Strength
Aragorn: Ranger of the North, drawDeck,0.5451664025356577,631,High Play Rate with Average Strength,0.487062404870624,657,High Play Rate with Average Strength,0.5757575757575758,33,Average
Aragorn's Bow, drawDeck,0.5256813417190775,1908,High Play Rate with Average Strength,0.4688427299703264,674,High Play Rate with Average Strength,0.4326923076923077,104,High Play Rate with Average Strength
Armor, drawDeck,0.5304449648711944,1708,High Play Rate with Average Strength,0.4314214463840399,401,High Play Rate with Average Strength,0.4777777777777778,90,High Play Rate with Average Strength
Gandalf: The Grey Pilgrim, drawDeck,0.539622641509434,795,High Play Rate with Average Strength,0.5357142857142857,168,High Play Rate with Average Strength,0.5333333333333333,15,Average
Secret Sentinels, drawDeck,0.536283185840708,1130,High Play Rate with Average Strength,0.48933143669985774,703,High Play Rate with Average Strength,0.4,25,Average
Ulaire Nelya: Ringwraith in Twilight, drawDeck,0.5190476190476191,630,High Play Rate with Average Strength,0.4779874213836478,477,High Play Rate with Average Strength,0.47058823529411764,34,Average
Elrond: Herald to Gil-galad, drawDeck,0.5519750519750519,962,High Play Rate with Average Strength,0.512396694214876,1331,High Play Rate with Average Strength,0.611764705882353,170,Meta Dominating Power Picks
Vilya, drawDeck,0.5398457583547558,389,High Play Rate with Average Strength,0.4703703703703704,1080,High Play Rate with Average Strength,0.3076923076923077,13,Redeemable
Might of Numenor, drawDeck,0.4406779661016949,118,Average,0.38073394495412843,218,Redeemable,0.46153846153846156,91,High Play Rate with Average Strength
Flaming Brand, drawDeck,0.5262312633832976,1868,High Play Rate with Average Strength,0.378698224852071,169,Redeemable,0.47058823529411764,85,High Play Rate with Average Strength
Galadriel: Lady of the Golden Wood, drawDeck,0.5250431778929189,579,High Play Rate with Average Strength,0.5067385444743935,371,High Play Rate with Average Strength,0.36363636363636365,22,Redeemable
East Road, site,0.38461538461538464,156,Redeemable,,,N/A,,,N/A
Trollshaw Forest, site,0.4293193717277487,573,High Play Rate with Average Strength,,,N/A,,,N/A
Council Courtyard, site,0.4092827004219409,474,High Play Rate with Average Strength,,,N/A,,,N/A
Great Chasm, site,0.4606741573033708,178,Average,,,N/A,,,N/A
Dimrill Dale, site,0.5196374622356495,662,High Play Rate with Average Strength,,,N/A,,,N/A
Brown Lands, site,0.4263157894736842,190,Average,,,N/A,,,N/A
Goblin Armory, drawDeck,0.5233644859813084,642,High Play Rate with Average Strength,0.4528301886792453,212,High Play Rate with Average Strength,0.3888888888888889,54,Redeemable
Goblin Marksman, drawDeck,0.42592592592592593,162,Average,0.23076923076923078,13,Trash,0.37254901960784315,51,Redeemable
Goblin Runner, drawDeck,0.5440289505428226,829,High Play Rate with Average Strength,0.5248447204968945,322,High Play Rate with Average Strength,0.3565217391304348,115,Redeemable
Goblin Scimitar, drawDeck,0.5224806201550387,645,High Play Rate with Average Strength,0.4507042253521127,213,High Play Rate with Average Strength,0.35135135135135137,37,Redeemable
Goblin Swarms, drawDeck,0.5447154471544715,492,High Play Rate with Average Strength,0.450261780104712,191,High Play Rate with Average Strength,0.34285714285714286,35,Redeemable
Host of Thousands, drawDeck,0.5397196261682243,428,High Play Rate with Average Strength,0.5113636363636364,176,High Play Rate with Average Strength,0.34782608695652173,46,Redeemable
They Are Coming, drawDeck,0.5695970695970696,546,High Play Rate with Average Strength,0.4933920704845815,227,High Play Rate with Average Strength,0.375,64,Redeemable
Hobbit Intuition, drawDeck,0.5107604017216643,697,High Play Rate with Average Strength,0.42168674698795183,166,High Play Rate with Average Strength,0.42857142857142855,42,Average
Sam: Faithful Companion, drawDeck,0.44642857142857145,112,Average,0.4864864864864865,37,Low Play Rate with Average Strength,0.5,2,Unplayed
Dwarven Armor, drawDeck,0.3805668016194332,247,Redeemable,0.49665924276169265,449,High Play Rate with Average Strength,0.44155844155844154,77,High Play Rate with Average Strength
A Promise, drawDeck,0.48427672955974843,159,Average,0.5328467153284672,274,High Play Rate with Average Strength,0.3770491803278688,61,Redeemable
Archer Commander, drawDeck,0.4240506329113924,158,Average,0.5,6,Unplayed,0.325,40,Redeemable
Goblin Bowman, drawDeck,0.43258426966292135,178,Average,0.6037735849056604,53,Standard Power Picks,0.38461538461538464,52,Redeemable
Moria Archer Troop, drawDeck,0.42857142857142855,161,Average,0.6458333333333334,48,Sleeper or Niche Power Picks,0.3617021276595745,47,Redeemable
Song of Durin, drawDeck,0.43564356435643564,303,High Play Rate with Average Strength,0.6216216216216216,37,Sleeper or Niche Power Picks,,,N/A
Grimir: Dwarven Elder, drawDeck,0.325,40,Redeemable,0.53125,32,Low Play Rate with Average Strength,0.32,25,Redeemable
Relics of Moria, drawDeck,0.5499021526418787,511,High Play Rate with Average Strength,0.5040650406504065,123,Average,0.2962962962962963,27,Trash
Gimli: Dwarf of the Mountain-race, drawDeck,0.35353535353535354,99,Redeemable,0.3235294117647059,34,Redeemable,,4,Trash
Bill the Pony, drawDeck,0.4106280193236715,207,Average,0.5378787878787878,132,Average,0.625,24,Standard Power Picks
Frying Pan, drawDeck,0.503731343283582,804,High Play Rate with Average Strength,0.44481605351170567,299,High Play Rate with Average Strength,0.36363636363636365,11,Redeemable
Farmer Maggot's Fields, site,0.689922480620155,129,Standard Power Picks,,,N/A,,,N/A
Weathertop, site,0.5281899109792285,337,High Play Rate with Average Strength,,,N/A,,,N/A
Eregion Hills, site,0.46033519553072627,895,High Play Rate with Average Strength,,,N/A,,,N/A
Caras Galadhon, site,0.4780915287244401,1027,High Play Rate with Average Strength,,,N/A,,,N/A
101_2, drawDeck,0.5,16,Unplayed,0.7692307692307693,13,Sleeper or Niche Power Picks,0.4878048780487805,41,Average
101_3, drawDeck,0.47706422018348627,545,High Play Rate with Average Strength,0.38095238095238093,42,Redeemable,0.3,10,Redeemable
101_37, drawDeck,0.6286644951140065,307,Meta Dominating Power Picks,0.5646687697160884,317,High Play Rate with Average Strength,0.6086956521739131,46,Meta Dominating Power Picks
101_39, drawDeck,0.5311355311355311,273,Average,0.5371621621621622,296,High Play Rate with Average Strength,0.5686274509803921,51,High Play Rate with Average Strength
101_40, drawDeck,0.5126050420168067,357,High Play Rate with Average Strength,0.5219512195121951,410,High Play Rate with Average Strength,0.58,50,High Play Rate with Average Strength
101_53, drawDeck,0.5486725663716814,339,High Play Rate with Average Strength,0.5407407407407407,270,High Play Rate with Average Strength,0.4117647058823529,17,Average
Gimli's Battle Axe, drawDeck,0.43820224719101125,534,High Play Rate with Average Strength,0.5315315315315315,222,High Play Rate with Average Strength,0.3,10,Redeemable
Black Steed, drawDeck,0.5972222222222222,216,Average,0.5285714285714286,70,Average,0.45454545454545453,11,Low Play Rate with Average Strength
Lord of Moria, drawDeck,0.3076923076923077,65,Redeemable,0.555045871559633,218,High Play Rate with Average Strength,0.19047619047619047,21,Trash
Fear, drawDeck,0.4,150,Average,0.5093457943925234,214,High Play Rate with Average Strength,0.5714285714285714,7,Low Play Rate with Average Strength
Frozen by Fear, drawDeck,0.3950617283950617,81,Redeemable,,,N/A,,,N/A
Ulaire Lemenya: Lieutenant of Morgul, drawDeck,0.4444444444444444,171,Average,0.36363636363636365,22,Redeemable,0.42857142857142855,7,Low Play Rate with Average Strength
Stairs of Khazad-dum, drawDeck,0.41911764705882354,136,Average,,,N/A,,6,Trash
Bounder, drawDeck,0.5421888053467001,1197,High Play Rate with Average Strength,0.5059952038369304,417,High Play Rate with Average Strength,0.4166666666666667,72,High Play Rate with Average Strength
Axe Strike, drawDeck,0.3972602739726027,219,Redeemable,0.5348101265822784,316,High Play Rate with Average Strength,0.1,20,Trash
Power According to His Stature, drawDeck,0.4438943894389439,606,High Play Rate with Average Strength,0.48663101604278075,187,High Play Rate with Average Strength,0.4716981132075472,53,High Play Rate with Average Strength
Cleaving Blow, drawDeck,0.3185840707964602,113,Redeemable,0.2,5,Unplayed,,14,Trash
Legolas: Greenleaf, drawDeck,0.5377906976744186,1720,High Play Rate with Average Strength,0.5136612021857924,1281,High Play Rate with Average Strength,0.36,50,Redeemable
Endurance of Dwarves, drawDeck,0.28823529411764703,170,Trash,0.4396551724137931,116,Average,0.25,8,Trash
Flurry of Blows, drawDeck,0.3784722222222222,288,Redeemable,0.38974358974358975,195,Redeemable,0.06666666666666667,15,Trash
Helpless, drawDeck,0.3920704845814978,227,Redeemable,0.6291390728476821,151,Meta Dominating Power Picks,0.5,2,Unplayed
It Wants to be Found, drawDeck,0.48175182481751827,411,High Play Rate with Average Strength,0.5213849287169042,491,High Play Rate with Average Strength,0.5915492957746479,71,High Play Rate with Average Strength
Ulaire Attea: The Easterling, drawDeck,0.41935483870967744,217,Average,0.4563758389261745,149,Average,0.5151515151515151,33,Average
Ulaire Enquea: Ringwraith in Twilight, drawDeck,0.44370860927152317,302,High Play Rate with Average Strength,0.510989010989011,364,High Play Rate with Average Strength,0.5652173913043478,69,High Play Rate with Average Strength
The Witch-king: Lord of the Nazgul, drawDeck,0.4750593824228028,421,High Play Rate with Average Strength,0.49682875264270615,473,High Play Rate with Average Strength,0.4782608695652174,69,High Play Rate with Average Strength
Great Works Begun There, drawDeck,0.35365853658536583,82,Redeemable,0.6,30,Sleeper or Niche Power Picks,0.6666666666666666,6,Sleeper or Niche Power Picks
Ulaire Otsea: Ringwraith in Twilight, drawDeck,0.387434554973822,191,Redeemable,0.4722222222222222,108,Average,0.375,16,Redeemable
Ulaire Nertea: Messenger of Dol Guldur, drawDeck,0.4281437125748503,334,High Play Rate with Average Strength,0.42424242424242425,198,High Play Rate with Average Strength,0.6,75,Meta Dominating Power Picks
Beneath the Mountains, drawDeck,0.4666666666666667,105,Average,0.5514018691588785,107,Average,0.3469387755102041,49,Redeemable
Realm of Dwarrowdelf, drawDeck,0.5147058823529411,68,Low Play Rate with Average Strength,0.5897435897435898,78,Average,0.5357142857142857,28,Average
Gloin: Friend to Thorin, drawDeck,0.4388185654008439,474,High Play Rate with Average Strength,0.5597014925373134,134,Average,0.21739130434782608,23,Trash
Westfarthing, site,0.36153846153846153,130,Redeemable,,,N/A,,,N/A
Shores of Nen Hithoel, site,0.5136612021857924,915,High Play Rate with Average Strength,,,N/A,0.5384615384615384,13,Low Play Rate with Average Strength
Orc Ambusher, drawDeck,0.45972495088408644,509,High Play Rate with Average Strength,0.26666666666666666,15,Trash,0.2857142857142857,14,Trash
Orc Scouting Band, drawDeck,0.4441340782122905,358,High Play Rate with Average Strength,0.36538461538461536,104,Redeemable,0.3333333333333333,18,Redeemable
You Bring Great Evil, drawDeck,0.4878048780487805,123,Average,0.4782608695652174,23,Low Play Rate with Average Strength,0.25,4,Trash
Till Durin Wakes Again, drawDeck,0.44110275689223055,399,High Play Rate with Average Strength,0.4473684210526316,38,Low Play Rate with Average Strength,0.3333333333333333,60,Redeemable
Orc Inquisitor, drawDeck,0.3684210526315789,171,Redeemable,0.2571428571428571,70,Trash,0.27586206896551724,29,Trash
Silverlode Banks, site,0.44142857142857145,700,High Play Rate with Average Strength,,,N/A,,,N/A
Anduin Banks, site,0.4494556765163297,643,High Play Rate with Average Strength,0.5308857808857809,1716,High Play Rate with Average Strength,0.47202797202797203,286,High Play Rate with Average Strength
Emyn Muil, site,0.4676470588235294,340,High Play Rate with Average Strength,,,N/A,,,N/A
A Ranger's Versatility, drawDeck,0.6637168141592921,113,Standard Power Picks,,1,Unplayed,0.4,15,Average
In the Ringwraith's Wake, drawDeck,0.4025974025974026,77,Low Play Rate with Average Strength,0.42391304347826086,92,Average,,7,Trash
Hobbit Sword, drawDeck,0.5230460921843687,499,High Play Rate with Average Strength,0.48132780082987553,723,High Play Rate with Average Strength,0.3741935483870968,155,Redeemable
Orophin: Lorien Bowman, drawDeck,0.5176282051282052,624,High Play Rate with Average Strength,0.4322033898305085,118,Average,0.3793103448275862,29,Redeemable
Rumil: Elven Protector, drawDeck,0.5206489675516224,678,High Play Rate with Average Strength,0.4838709677419355,248,High Play Rate with Average Strength,0.32432432432432434,37,Redeemable
Blade of Gondor, drawDeck,0.5118306351183064,803,High Play Rate with Average Strength,0.3411764705882353,170,Redeemable,0.4489795918367347,49,High Play Rate with Average Strength
The Balrog: Durin's Bane, drawDeck,0.4967105263157895,912,High Play Rate with Average Strength,,,N/A,,,N/A
Calaglin: Elf of Lorien, drawDeck,0.44495412844036697,218,Average,0.4954128440366973,109,Average,0.16666666666666666,6,Trash
Boromir: Defender of Minas Tirith, drawDeck,0.4984984984984985,333,High Play Rate with Average Strength,0.28,25,Trash,0.5555555555555556,18,Average
Gondor Bowmen, drawDeck,0.5232358003442341,581,High Play Rate with Average Strength,0.40607734806629836,362,High Play Rate with Average Strength,0.4824561403508772,114,High Play Rate with Average Strength
Can You Protect Me From Yourself, drawDeck,0.3248407643312102,157,Redeemable,0.2,5,Unplayed,0.5555555555555556,9,Low Play Rate with Average Strength
Isengard Smith, drawDeck,0.4659090909090909,176,Average,0.5378151260504201,119,Average,0.5555555555555556,9,Low Play Rate with Average Strength
Isengard Warrior, drawDeck,0.48823529411764705,170,Average,0.6630434782608695,184,Meta Dominating Power Picks,0.5,14,Low Play Rate with Average Strength
Orc Commander, drawDeck,0.4861111111111111,144,Average,0.5384615384615384,117,Average,0.5,10,Low Play Rate with Average Strength
Galadriel: Lady of Light, drawDeck,0.5281124497991968,498,High Play Rate with Average Strength,0.3161290322580645,155,Redeemable,0.4,5,Low Play Rate with Average Strength
News of Mordor, drawDeck,0.391304347826087,23,Redeemable,0.2857142857142857,7,Unplayed,0.3333333333333333,6,Redeemable
101_42, drawDeck,0.48623853211009177,109,Average,0.28125,32,Trash,0.5,6,Low Play Rate with Average Strength
101_43, drawDeck,0.5081967213114754,122,Average,0.34210526315789475,38,Redeemable,0.5,6,Low Play Rate with Average Strength
The Nine Servants of Sauron, drawDeck,0.6590909090909091,44,Sleeper or Niche Power Picks,,,N/A,0.5833333333333334,12,Low Play Rate with Average Strength
Shoulder to Shoulder, drawDeck,0.5595238095238095,84,Low Play Rate with Average Strength,0.4866666666666667,150,Average,0.34615384615384615,26,Redeemable
His Terrible Servants, drawDeck,0.5067264573991032,223,Average,0.5284280936454849,299,High Play Rate with Average Strength,0.6170212765957447,47,Meta Dominating Power Picks
Gates of the Dead City, drawDeck,0.45145631067961167,206,Average,0.41784037558685444,213,High Play Rate with Average Strength,0.4,35,Average
Rivendell Valley, site,0.4362745098039216,204,Average,,,N/A,,,N/A
Moria Lake, site,0.5701598579040853,563,High Play Rate with Average Strength,,,N/A,,,N/A
Lothlorien Woods, site,0.4084507042253521,284,Average,,,N/A,,,N/A
Desperate Defense of the Ring, drawDeck,0.3787878787878788,264,Redeemable,0.3489010989010989,364,Redeemable,0.1951219512195122,41,Trash
Thin and Stretched, drawDeck,0.40066225165562913,302,High Play Rate with Average Strength,0.3770949720670391,358,Redeemable,0.21428571428571427,42,Trash
Bow of the Galadhrim, drawDeck,0.4106090373280943,509,High Play Rate with Average Strength,0.39826839826839827,231,Redeemable,0.47619047619047616,42,Average
Celeborn: Lord of Lorien, drawDeck,0.5092838196286472,377,High Play Rate with Average Strength,0.3592814371257485,167,Redeemable,0.4166666666666667,24,Average
Aragorn: King in Exile, drawDeck,0.5072788353863382,893,High Play Rate with Average Strength,0.47058823529411764,391,High Play Rate with Average Strength,0.5217391304347826,23,Average
Double Shot, drawDeck,0.4068965517241379,290,Average,0.45591939546599497,397,High Play Rate with Average Strength,0.4,85,High Play Rate with Average Strength
Haldir: Elf of the Golden Wood, drawDeck,0.47058823529411764,102,Average,,1,Unplayed,,,N/A
Orc Warrior, drawDeck,0.1875,16,Unplayed,,,N/A,,,N/A
Legolas: Son of Thranduil, drawDeck,0.49700598802395207,167,Average,0.2,5,Unplayed,0.5714285714285714,7,Low Play Rate with Average Strength
Forests of Lothlorien, drawDeck,,9,Unplayed,1,1,Unplayed,,,N/A
Long-knives of Legolas, drawDeck,0.4172661870503597,556,High Play Rate with Average Strength,0.39520958083832336,167,Redeemable,0.3829787234042553,47,Redeemable
Orc Butcher, drawDeck,0.3577981651376147,109,Redeemable,0.35877862595419846,131,Redeemable,0.2727272727272727,11,Trash
Band of the Eye, drawDeck,0.4107142857142857,336,High Play Rate with Average Strength,0.34782608695652173,115,Redeemable,0.3333333333333333,21,Redeemable
Desperate Measures, drawDeck,0.14285714285714285,28,Trash,,3,Unplayed,,6,Trash
Tower Lieutenant, drawDeck,0.29411764705882354,68,Trash,0.3076923076923077,13,Redeemable,0.3333333333333333,3,Redeemable
Ancient Enmity, drawDeck,0.3333333333333333,6,Unplayed,,1,Unplayed,0.2777777777777778,18,Trash
Curse Their Foul Feet, drawDeck,0.07692307692307693,13,Unplayed,0.5384615384615384,39,Low Play Rate with Average Strength,,,N/A
The White Arrows of Lorien, drawDeck,0.16666666666666666,24,Trash,0.42857142857142855,14,Low Play Rate with Average Strength,,5,Trash
Tower of Barad-dur, drawDeck,0.1111111111111111,36,Trash,0.3125,16,Redeemable,0.16666666666666666,12,Trash
His Cruelty and Malice, drawDeck,0.10344827586206896,29,Trash,,4,Unplayed,0.3333333333333333,6,Redeemable
101_62, site,0.6304985337243402,341,Meta Dominating Power Picks,,,N/A,,,N/A
Here Lies Balin: Son of Fundin, drawDeck,0.36363636363636365,33,Redeemable,0.625,48,Sleeper or Niche Power Picks,,1,Unplayed
Morgul Hunter, drawDeck,0.4894894894894895,333,High Play Rate with Average Strength,0.37662337662337664,77,Redeemable,0.16666666666666666,24,Trash
Orc Soldier, drawDeck,0.40804597701149425,174,Average,0.5454545454545454,11,Low Play Rate with Average Strength,0.3333333333333333,6,Redeemable
