ID,Type,Fellowship Win Rate,Fellowship Games Played,Fellowship Rating,Movie Win Rate,Movie Games Played,Movie Rating,Expanded Win Rate,Expanded Games Played,Expanded Rating
White Hand Scout, drawDeck,,,N/A,,,N/A,0.52,25,Average
White Hand Taskmaster, drawDeck,,,N/A,,,N/A,0.5970149253731343,67,High Play Rate with Average Strength
Final Triumph, drawDeck,,,N/A,,,N/A,0.64,50,Meta Dominating Power Picks
11_236, site,,,N/A,,,N/A,0.38095238095238093,42,Redeemable
11_264, site,,,N/A,,,N/A,0.3181818181818182,22,Redeemable
Elven Marksmanship, drawDeck,,,N/A,,,N/A,0.4074074074074074,27,Average
Legolas: Woodland Emissary, drawDeck,,,N/A,,,N/A,0.4166666666666667,24,Average
Legolas' Bow, drawDeck,,,N/A,,,N/A,0.5,24,Average
Seclusion, drawDeck,,,N/A,,,N/A,0.3125,32,Redeemable
Take Up the Bow, drawDeck,,,N/A,,,N/A,0.5789473684210527,19,Average
Streets of Bree, site,,,N/A,,,N/A,0.421875,64,High Play Rate with Average Strength
11_228, site,,,N/A,,,N/A,0.45901639344262296,61,High Play Rate with Average Strength
11_112, drawDeck,,,N/A,,,N/A,0.5833333333333334,12,Average
Dread and Despair, drawDeck,,,N/A,,,N/A,0.5714285714285714,14,Average
Goblin Hordes, drawDeck,,,N/A,,,N/A,0.52,50,High Play Rate with Average Strength
Isengard Underling, drawDeck,,,N/A,,,N/A,0.4117647058823529,34,High Play Rate with Average Strength
Porter Troll, drawDeck,,,N/A,,,N/A,0.5277777777777778,36,High Play Rate with Average Strength
Troll's Keyward: Keeper of the Beast, drawDeck,,,N/A,,,N/A,0.5128205128205128,39,High Play Rate with Average Strength
Cave Troll of Moria: Savage Menace, drawDeck,,,N/A,,,N/A,0.4888888888888889,45,High Play Rate with Average Strength
Forced March, drawDeck,,,N/A,,,N/A,0.6176470588235294,34,Meta Dominating Power Picks
Ordnance Grunt, drawDeck,,,N/A,,,N/A,0.5161290322580645,31,Average
Tower Troll, drawDeck,,,N/A,,,N/A,0.5333333333333333,30,Average
Orkish Assassin, drawDeck,,,N/A,,,N/A,0.6,5,Sleeper or Niche Power Picks
Woodhall Elf: Exile, drawDeck,,,N/A,,,N/A,0.46153846153846156,65,High Play Rate with Average Strength
Arwen: Royal Maiden, drawDeck,,,N/A,,,N/A,0.6,5,Sleeper or Niche Power Picks
Stalwart Support, drawDeck,,,N/A,,,N/A,0.6363636363636364,33,Meta Dominating Power Picks
Surrounded by Wraiths, drawDeck,,,N/A,,,N/A,0.3333333333333333,3,Redeemable
Uncertain Future, drawDeck,,,N/A,,,N/A,0.38461538461538464,13,Redeemable
Unending Life, drawDeck,,,N/A,,,N/A,0.45454545454545453,22,Average
Faramir's Sword, drawDeck,,,N/A,,,N/A,0.3448275862068966,29,Redeemable
Secluded Homestead, drawDeck,,,N/A,,,N/A,0.3333333333333333,9,Redeemable
Standing Tall, drawDeck,,,N/A,,,N/A,,1,Unplayed
A Shadow Fell Over Them, drawDeck,,,N/A,,,N/A,0.46153846153846156,13,Average
They Feel the Precious, drawDeck,,,N/A,,,N/A,0.6666666666666666,9,Sleeper or Niche Power Picks
Legolas: of the Woodland Realm, drawDeck,,,N/A,,,N/A,0.5531914893617021,47,High Play Rate with Average Strength
Sword of the Fallen, drawDeck,,,N/A,,,N/A,0.5217391304347826,23,Average
Aragorn: Thorongil, drawDeck,,,N/A,,,N/A,0.48484848484848486,132,High Play Rate with Average Strength
17_11, drawDeck,,,N/A,,,N/A,0.6764705882352942,34,Meta Dominating Power Picks
Weapons of Lothlorien, drawDeck,,,N/A,,,N/A,0.5,4,Low Play Rate with Average Strength
Anduril: Sword That Was Broken, drawDeck,,,N/A,,,N/A,0.4161073825503356,149,High Play Rate with Average Strength
17_7, drawDeck,,,N/A,,,N/A,0.2857142857142857,7,Trash
Celebring: Elven-smith, drawDeck,,,N/A,,,N/A,0.4782608695652174,46,High Play Rate with Average Strength
Namarie, drawDeck,,,N/A,,,N/A,0.5409836065573771,61,High Play Rate with Average Strength
Falls of Rauros, site,,,N/A,,,N/A,0.5172413793103449,29,Average
Ghan-buri-Ghan: Chieftain of the Woses , drawDeck,,,N/A,,,N/A,0.5774647887323944,71,High Play Rate with Average Strength
New-awakened, drawDeck,,,N/A,,,N/A,0.36363636363636365,11,Redeemable
The Witch-king's Beast: Fell Creature, drawDeck,,,N/A,,,N/A,0.35,20,Redeemable
Jarnsmid: Barding Emissary, drawDeck,,,N/A,,,N/A,0.5887850467289719,107,High Play Rate with Average Strength
Radagast: Tender of Beasts, drawDeck,,,N/A,,,N/A,0.4230769230769231,26,Average
Traveler's Homestead, drawDeck,,,N/A,,,N/A,0.3333333333333333,15,Redeemable
Heirs of Gondor, drawDeck,,,N/A,,,N/A,0.41025641025641024,39,High Play Rate with Average Strength
Be Gone, drawDeck,,,N/A,,,N/A,0.375,8,Redeemable
Gondorian Prowler, drawDeck,,,N/A,,,N/A,0.4,15,Average
Narsil: Forged by Telchar, drawDeck,,,N/A,,,N/A,0.4583333333333333,48,High Play Rate with Average Strength
Gollum: Threatening Guide, drawDeck,,,N/A,,,N/A,0.42857142857142855,35,High Play Rate with Average Strength
Gift of the Evenstar: Blessed Light, drawDeck,,,N/A,,,N/A,0.4444444444444444,9,Low Play Rate with Average Strength
Glorfindel: Eldarin Lord, drawDeck,,,N/A,,,N/A,0.4897959183673469,49,High Play Rate with Average Strength
Haldir: Warrior Messenger, drawDeck,,,N/A,,,N/A,0.375,16,Redeemable
Arwen's Dagger, drawDeck,,,N/A,,,N/A,0.35,20,Redeemable
11_259, site,,,N/A,,,N/A,0.5163934426229508,122,High Play Rate with Average Strength
