ID,Type,Fellowship Win Rate,Fellowship Games Played,Fellowship Rating,Movie Win Rate,Movie Games Played,Movie Rating,Expanded Win Rate,Expanded Games Played,Expanded Rating
Uncertain Paths, drawDeck,,,N/A,,1,Unplayed,0.4444444444444444,9,Low Play Rate with Average Strength
Suspended Palaces, drawDeck,,,N/A,0.5,2,Unplayed,,,N/A
Rohirrim Traitor, drawDeck,,,N/A,0.75,4,Unplayed,,5,Trash
Uruk Bloodlust, drawDeck,,,N/A,0.5,2,Unplayed,,,N/A
Guma: Plains Farmer, drawDeck,,,N/A,0.42857142857142855,49,Average,0.14285714285714285,7,Trash
Weland: Smith of the Riddermark, drawDeck,,,N/A,0.75,12,Sleeper or Niche Power Picks,0.2,20,Trash
Gnawing: Biting, Hacking, Burning, drawDeck,,,N/A,0.6666666666666666,6,Unplayed,,1,Unplayed
Isengard Artisan, drawDeck,,,N/A,0.5,10,Low Play Rate with Average Strength,0.6,5,Sleeper or Niche Power Picks
Uruk Seeker, drawDeck,,,N/A,,2,Unplayed,,1,Unplayed
Severed His Bonds, drawDeck,,,N/A,,3,Unplayed,,,N/A
Swiftly and Softly, drawDeck,,,N/A,,2,Unplayed,,,N/A
Task Was Not Done, drawDeck,,,N/A,,1,Unplayed,,,N/A
Under the Living Earth, drawDeck,,,N/A,0.25,4,Unplayed,0.2857142857142857,7,Trash
Orc Armor, drawDeck,,,N/A,0.1875,16,Trash,0.6666666666666666,3,Sleeper or Niche Power Picks
Gondorian Ranger, drawDeck,,,N/A,0.5555555555555556,9,Low Play Rate with Average Strength,,,N/A
Ancient Roads, drawDeck,,,N/A,0.5833333333333334,24,Low Play Rate with Average Strength,0.16666666666666666,6,Trash
Sauron's Hatred, drawDeck,,,N/A,1,1,Unplayed,,,N/A
Troll of Udun, drawDeck,,,N/A,0.25,16,Trash,,3,Trash
We Are the Fighting Uruk-hai, drawDeck,,,N/A,0.5,2,Unplayed,0.14285714285714285,7,Trash
10_41*, drawDeck,,,N/A,0.3333333333333333,3,Unplayed,,,N/A
Window of the Eye, drawDeck,,,N/A,,3,Unplayed,,,N/A
Horn of the Mark, drawDeck,,,N/A,0.16666666666666666,6,Unplayed,0.125,8,Trash
Orc Marauder, drawDeck,,,N/A,0.3333333333333333,3,Unplayed,0.5,4,Low Play Rate with Average Strength
Treebeard: Oldest Living Thing, drawDeck,,,N/A,0.7,20,Sleeper or Niche Power Picks,,1,Unplayed
Rope and Winch, drawDeck,,,N/A,0.4,5,Unplayed,,2,Unplayed
Siegecraft, drawDeck,,,N/A,0.4,5,Unplayed,0.5,4,Low Play Rate with Average Strength
10_97*, drawDeck,,,N/A,0.7857142857142857,14,Sleeper or Niche Power Picks,0.6829268292682927,41,Meta Dominating Power Picks
6_40*, drawDeck,,,N/A,0.8,15,Sleeper or Niche Power Picks,1,3,Sleeper or Niche Power Picks
6_45*, drawDeck,,,N/A,0.6904761904761905,42,Sleeper or Niche Power Picks,0.7222222222222222,18,Standard Power Picks
Reckless Pride, drawDeck,,,N/A,1,3,Unplayed,0.8181818181818182,11,Sleeper or Niche Power Picks
8_101*, drawDeck,,,N/A,0.7857142857142857,14,Sleeper or Niche Power Picks,0.6829268292682927,41,Meta Dominating Power Picks
Song of the Shire, drawDeck,,,N/A,0.8181818181818182,11,Sleeper or Niche Power Picks,,1,Unplayed
Gorgoroth Attacker, drawDeck,,,N/A,0.2631578947368421,19,Trash,,1,Unplayed
Battle in Earnest, drawDeck,,,N/A,,2,Unplayed,,1,Unplayed
Look at Him, drawDeck,,,N/A,0.6666666666666666,6,Unplayed,0.36363636363636365,11,Redeemable
Ulaire Lemenya: Winged Hunter, drawDeck,,,N/A,0.35294117647058826,17,Redeemable,0.5,12,Low Play Rate with Average Strength
Gorgoroth Ransacker, drawDeck,,,N/A,0.42857142857142855,7,Unplayed,,,N/A
Sam's Pack, drawDeck,,,N/A,,12,Trash,0.5,2,Unplayed
Gimli: Counter of Foes, drawDeck,,,N/A,,4,Unplayed,0.25,4,Trash
Ordulus: Young Warrior, drawDeck,,,N/A,0.38235294117647056,34,Redeemable,,2,Unplayed
Not the First Halfling, drawDeck,,,N/A,0.6666666666666666,15,Sleeper or Niche Power Picks,0.45454545454545453,11,Low Play Rate with Average Strength
Band of Uruk Bowmen, drawDeck,,,N/A,0.3157894736842105,19,Redeemable,,1,Unplayed
Uruk Assault Band, drawDeck,,,N/A,0.25,8,Unplayed,0.3888888888888889,18,Redeemable
Uruk Spear, drawDeck,,,N/A,0.25,4,Unplayed,1,1,Unplayed
Best Company, drawDeck,,,N/A,,2,Unplayed,0.625,8,Sleeper or Niche Power Picks
Gimli's Armor, drawDeck,,,N/A,0.59375,32,Low Play Rate with Average Strength,0.3333333333333333,6,Redeemable
Slippery as Fishes, drawDeck,,,N/A,0.15789473684210525,19,Trash,0.6,25,Standard Power Picks
Put Forth His Strength, drawDeck,,,N/A,0.3333333333333333,3,Unplayed,,,N/A
Horn of Helm, drawDeck,,,N/A,,1,Unplayed,0.625,8,Sleeper or Niche Power Picks
Morgul Predator, drawDeck,,,N/A,,1,Unplayed,0.3333333333333333,6,Redeemable
Morgul Regiment, drawDeck,,,N/A,0.5,2,Unplayed,0.2,5,Trash
Knight of Dol Amroth, drawDeck,,,N/A,0.375,8,Unplayed,0.38461538461538464,13,Redeemable
Dunlending Savage, drawDeck,,,N/A,,1,Unplayed,0.6666666666666666,3,Sleeper or Niche Power Picks
Erethon: Naith Lieutenant, drawDeck,,,N/A,,1,Unplayed,,,N/A
Lorien Is Most Welcome, drawDeck,,,N/A,,1,Unplayed,,,N/A
Legolas: Nimble Warrior, drawDeck,,,N/A,,1,Unplayed,,,N/A
Restless Axe, drawDeck,,,N/A,1,1,Unplayed,0.25,4,Trash
A Grey Ship, drawDeck,,,N/A,0.3684210526315789,19,Redeemable,,1,Unplayed
10_6*, drawDeck,,,N/A,,2,Unplayed,,,N/A
Toss Me, drawDeck,,,N/A,,3,Unplayed,,4,Trash
Sword of Dol Guldur, drawDeck,,,N/A,0.25,12,Trash,0.2857142857142857,7,Trash
7_339*, site,,,N/A,0.5681818181818182,44,Low Play Rate with Average Strength,,,N/A
7_345*, site,,,N/A,0.5757575757575758,33,Low Play Rate with Average Strength,,,N/A
7_347*, site,,,N/A,0.59375,32,Low Play Rate with Average Strength,,,N/A
7_355*, site,,,N/A,0.625,64,Standard Power Picks,,,N/A
1_250*, drawDeck,,,N/A,0.75,8,Unplayed,,,N/A
1_277*, drawDeck,,,N/A,0.75,8,Unplayed,,,N/A
1_6*, drawDeck,,,N/A,0.75,12,Sleeper or Niche Power Picks,,1,Unplayed
2_13*, drawDeck,,,N/A,0.7272727272727273,11,Sleeper or Niche Power Picks,,,N/A
7_13*, drawDeck,,,N/A,0.7272727272727273,11,Sleeper or Niche Power Picks,,,N/A
7_286*, drawDeck,,,N/A,0.7272727272727273,11,Sleeper or Niche Power Picks,0.6829268292682927,41,Meta Dominating Power Picks
8_3*, drawDeck,,,N/A,0.59375,32,Low Play Rate with Average Strength,,,N/A
9_5*, drawDeck,,,N/A,0.59375,32,Low Play Rate with Average Strength,,,N/A
9_7*, drawDeck,,,N/A,0.59375,32,Low Play Rate with Average Strength,,,N/A
9_8*, drawDeck,,,N/A,0.59375,32,Low Play Rate with Average Strength,,,N/A
Fool of a Took, drawDeck,,,N/A,,2,Unplayed,,1,Unplayed
Mallorn-trees, drawDeck,,,N/A,0.25,4,Unplayed,0.2222222222222222,9,Trash
Master of Healing, drawDeck,,,N/A,,4,Unplayed,,,N/A
Eowyn's Sword, drawDeck,,,N/A,0.6470588235294118,17,Sleeper or Niche Power Picks,1,3,Sleeper or Niche Power Picks
Arwen: Echo of Luthien, drawDeck,,,N/A,0.3076923076923077,13,Redeemable,0.2,5,Trash
Southron Bow, drawDeck,,,N/A,0.3333333333333333,3,Unplayed,0.3333333333333333,6,Redeemable
Southron Spear, drawDeck,,,N/A,0.5454545454545454,11,Low Play Rate with Average Strength,0.5,6,Low Play Rate with Average Strength
Southron Intruder, drawDeck,,,N/A,0.14285714285714285,7,Unplayed,0.14285714285714285,14,Trash
Suzerain of Harad, drawDeck,,,N/A,0.38461538461538464,13,Redeemable,0.6666666666666666,6,Sleeper or Niche Power Picks
Eomer: Rohirrim Captain, drawDeck,,,N/A,0.3333333333333333,9,Redeemable,,,N/A
Wrath of Harad, drawDeck,,,N/A,0.48148148148148145,27,Low Play Rate with Average Strength,,,N/A
War and Valor, drawDeck,,,N/A,0.3076923076923077,13,Redeemable,0.2,5,Trash
4_287*, drawDeck,,,N/A,0.6666666666666666,3,Unplayed,,,N/A
Out of Darkness, drawDeck,,,N/A,0.42857142857142855,7,Unplayed,,2,Unplayed
7_350*, site,,,N/A,0.5,4,Unplayed,,,N/A
3_23*, drawDeck,,,N/A,1,2,Unplayed,,,N/A
6_16*, drawDeck,,,N/A,0.6226415094339622,53,Standard Power Picks,0.7169811320754716,53,Meta Dominating Power Picks
7_37*, drawDeck,,,N/A,0.75,4,Unplayed,0.7169811320754716,53,Meta Dominating Power Picks
8_94*, drawDeck,,,N/A,0.6666666666666666,3,Unplayed,,,N/A
Merry: Swordthain , drawDeck,,,N/A,1,1,Unplayed,,,N/A
Naith Troop, drawDeck,,,N/A,0.2,5,Unplayed,,,N/A
Attack on Helm's Deep, drawDeck,,,N/A,0.4444444444444444,9,Low Play Rate with Average Strength,0.3333333333333333,24,Redeemable
Burning of Westfold, drawDeck,,,N/A,0.45454545454545453,11,Low Play Rate with Average Strength,0.2631578947368421,19,Trash
Down to the Last Child, drawDeck,,,N/A,0.5,10,Low Play Rate with Average Strength,0.3125,16,Redeemable
Pillage of Rohan, drawDeck,,,N/A,0.5,2,Unplayed,0.29411764705882354,17,Trash
Uruk Trooper, drawDeck,,,N/A,0.6,5,Unplayed,0.16666666666666666,6,Trash
Uruk Veteran, drawDeck,,,N/A,0.5,8,Unplayed,0.16666666666666666,6,Trash
Uruk-hai Band, drawDeck,,,N/A,0.6,5,Unplayed,,,N/A
Uruk-hai Horde, drawDeck,,,N/A,0.5,6,Unplayed,0.3333333333333333,9,Redeemable
Uruk-hai Marauder, drawDeck,,,N/A,0.4,5,Unplayed,0.375,16,Redeemable
Uruk-hai Mob, drawDeck,,,N/A,1,1,Unplayed,0.5,4,Low Play Rate with Average Strength
Dunlending Looter, drawDeck,,,N/A,0.25,4,Unplayed,0.375,8,Redeemable
No Refuge, drawDeck,,,N/A,0.3333333333333333,3,Unplayed,0.75,4,Sleeper or Niche Power Picks
Balglin: Elven Warrior, drawDeck,,,N/A,,1,Unplayed,,,N/A
5_10*, drawDeck,,,N/A,,1,Unplayed,,,N/A
Great Peril of Fire, drawDeck,,,N/A,,3,Unplayed,,,N/A
Southron Fanatic, drawDeck,,,N/A,0.375,8,Unplayed,,,N/A
Southron Thief, drawDeck,,,N/A,0.5,8,Unplayed,0.8,5,Sleeper or Niche Power Picks
Mablung: Soldier of Gondor, drawDeck,,,N/A,0.47058823529411764,17,Low Play Rate with Average Strength,,1,Unplayed
Ranger's Bow, drawDeck,,,N/A,0.4444444444444444,9,Low Play Rate with Average Strength,0.2222222222222222,9,Trash
Sam: Nice Sensible Hobbit, drawDeck,,,N/A,0.5,4,Unplayed,,1,Unplayed
Anborn: Skilled Huntsman, drawDeck,,,N/A,,2,Unplayed,,,N/A
Third Level, drawDeck,,,N/A,0.3333333333333333,6,Unplayed,,,N/A
Smeagol: Hurried Guide, drawDeck,,,N/A,,1,Unplayed,,,N/A
Legolas: Elven Stalwart, drawDeck,,,N/A,0.38461538461538464,39,Redeemable,0.4,5,Low Play Rate with Average Strength
Days Growing Dark, drawDeck,,,N/A,,1,Unplayed,,,N/A
Serving the Precious, drawDeck,,,N/A,,1,Unplayed,,,N/A
7_346*, site,,,N/A,0.782608695652174,23,Sleeper or Niche Power Picks,,,N/A
10_18*, drawDeck,,,N/A,0.8076923076923077,26,Sleeper or Niche Power Picks,0.5333333333333333,15,Average
More Unbearable, drawDeck,,,N/A,0.3333333333333333,3,Unplayed,,3,Trash
End of the Game, drawDeck,,,N/A,0.29411764705882354,17,Trash,0.6666666666666666,3,Sleeper or Niche Power Picks
Rapid Fire, drawDeck,,,N/A,,2,Unplayed,,,N/A
Anguish, drawDeck,,,N/A,,1,Unplayed,,,N/A
Mordor Assassin, drawDeck,,,N/A,0.4444444444444444,9,Low Play Rate with Average Strength,0.16666666666666666,6,Trash
Mordor Regular, drawDeck,,,N/A,,1,Unplayed,,1,Unplayed
Mordor Savage, drawDeck,,,N/A,,1,Unplayed,1,1,Unplayed
4_223*, drawDeck,,,N/A,,1,Unplayed,,,N/A
4_226*, drawDeck,,,N/A,,1,Unplayed,,,N/A
4_228*, drawDeck,,,N/A,,1,Unplayed,,,N/A
Gollum: Stinker , drawDeck,,,N/A,0.625,8,Unplayed,,,N/A
6_79*, drawDeck,,,N/A,,1,Unplayed,,,N/A
7_23*, drawDeck,,,N/A,,1,Unplayed,,,N/A
Get Off the Road, drawDeck,,,N/A,,1,Unplayed,,,N/A
Uruk Axe, drawDeck,,,N/A,1,1,Unplayed,0.5,4,Low Play Rate with Average Strength
Barren Land, drawDeck,,,N/A,0.4666666666666667,15,Low Play Rate with Average Strength,0.16666666666666666,6,Trash
Southron Assassin, drawDeck,,,N/A,,3,Unplayed,1,2,Unplayed
Troop of Haradrim, drawDeck,,,N/A,0.625,8,Unplayed,0.625,8,Sleeper or Niche Power Picks
Trust, drawDeck,,,N/A,0.5,12,Low Play Rate with Average Strength,0.6666666666666666,6,Sleeper or Niche Power Picks
1_303*, drawDeck,,,N/A,0.8,5,Unplayed,,,N/A
Henneth Annun, drawDeck,,,N/A,0.6666666666666666,3,Unplayed,0.5384615384615384,13,Low Play Rate with Average Strength
Ithilien Trap, drawDeck,,,N/A,0.6666666666666666,3,Unplayed,0.42857142857142855,7,Low Play Rate with Average Strength
