Card,Block,Category/Count,Games,Win Rate,Play Rate,Weighted Play Rate,Weighted Inclusion Rate,Pool Size,Mock's Initial Ratings
"•The One Ring, Isildur's Bane",Fellowship Block (PC),The One Ring,1217,0.5185,0.8883,1.78,1.78,2,Over Played?
"•The One Ring, Isildur's Bane",Movie Block (PC),The One Ring,156,0.5064,0.0879,0.44,0.44,5,Low Play Rate
"•The One Ring, Isildur's Bane",Expanded (PC),The One Ring,2,0.5000,0.0055,0.04,0.04,8,Unplayed
"•The One Ring, Isildur's Bane",All Blocks (PC),The One Ring,1375,0.5171,0.3917,5.87,5.87,15,Over Played?
"•Frodo, Reluctant Adventurer",Fellowship Block (PC),Ring Bearer,796,0.4987,0.5810,1.74,1.74,3,Meta Staple
"•Frodo, Reluctant Adventurer",Movie Block (PC),Ring Bearer,127,0.5276,0.0716,1.07,1.07,15,Average
"•Frodo, Reluctant Adventurer",Expanded (PC),Ring Bearer,9,0.4444,0.0246,0.44,0.44,18,Low Play Rate
"•Frodo, Reluctant Adventurer",All Blocks (PC),Ring Bearer,932,0.5021,0.2655,9.55,9.55,36,Over Played?
"•Frodo, Old Bilbo's Heir",Fellowship Block (PC),Ring Bearer,1,0.0000,0.0007,0.00,0.00,3,Unplayed
"•Frodo, Old Bilbo's Heir",Fellowship Block (PC),Ring Bearer,486,0.5165,0.3547,1.06,1.06,3,Average
"•Frodo, Old Bilbo's Heir",Movie Block (PC),Ring Bearer,233,0.4635,0.1313,1.97,1.97,15,Over Played?
"•Frodo, Old Bilbo's Heir",Expanded (PC),Ring Bearer,10,0.4000,0.0273,0.49,0.49,18,Low Play Rate
"•Frodo, Old Bilbo's Heir",All Blocks (PC),Ring Bearer,729,0.4979,0.2077,7.47,7.47,36,Meta Staple
"The Prancing Pony",Fellowship Block (PC),Site,849,0.5100,0.6197,4.47,4.47,65,Meta Staple
"The Prancing Pony",Movie Block (PC),Site,468,0.5513,0.2638,4.57,4.57,156,Meta Staple
"The Prancing Pony",Expanded (PC),Site,43,0.4884,0.1175,1.04,1.04,80,Average
"The Prancing Pony",All Blocks (PC),Site,1360,0.5235,0.3875,12.96,12.96,301,Over Played?
"Bree Streets",Fellowship Block (PC),Site,176,0.5455,0.1285,0.93,0.93,65,Average
"Bree Streets",Movie Block (PC),Site,88,0.6250,0.0496,0.86,0.86,156,Sleeper or Niche Power Picks
"Bree Streets",All Blocks (PC),Site,264,0.5720,0.0752,2.52,2.52,301,Meta Staple
"Ford of Bruinen",Fellowship Block (PC),Site,338,0.5237,0.2467,1.78,1.78,65,High Play Rate
"Ford of Bruinen",Movie Block (PC),Site,224,0.5759,0.1263,2.19,2.19,156,High Play Rate
"Ford of Bruinen",All Blocks (PC),Site,562,0.5445,0.1601,5.35,5.35,301,Meta Staple
"Eregion Hills",Fellowship Block (PC),Site,379,0.4354,0.2766,2.00,2.00,65,High Play Rate
"Eregion Hills",Movie Block (PC),Site,231,0.5238,0.1302,2.26,2.26,156,High Play Rate
"Eregion Hills",All Blocks (PC),Site,610,0.4689,0.1738,5.81,5.81,301,Meta Staple
"The Bridge of Khazad-dum",Fellowship Block (PC),Site,1370,0.5000,1.0000,7.22,7.22,65,Meta Staple
"The Bridge of Khazad-dum",Movie Block (PC),Site,868,0.5323,0.4893,8.48,8.48,156,Over Played?
"The Bridge of Khazad-dum",Expanded (PC),Site,24,0.5417,0.0656,0.58,0.58,80,Average
"The Bridge of Khazad-dum",All Blocks (PC),Site,2262,0.5128,0.6444,21.55,21.55,301,Over Played?
"Lothlorien Woods",Fellowship Block (PC),Site,252,0.5159,0.1839,1.33,1.33,65,Average
"Lothlorien Woods",Movie Block (PC),Site,5,0.2000,0.0028,0.05,0.05,156,Unplayed
"Lothlorien Woods",All Blocks (PC),Site,257,0.5097,0.0732,2.45,2.45,301,High Play Rate
"Silverlode Banks",Fellowship Block (PC),Site,370,0.4730,0.2701,1.95,1.95,65,High Play Rate
"Silverlode Banks",Movie Block (PC),Site,238,0.5630,0.1342,2.33,2.33,156,High Play Rate
"Silverlode Banks",All Blocks (PC),Site,608,0.5082,0.1732,5.79,5.79,301,Meta Staple
"Anduin Banks",Fellowship Block (PC),Site,170,0.4059,0.1241,0.90,0.90,65,Average
"Anduin Banks",Expanded (PC),Site,69,0.4783,0.1885,1.68,1.68,80,High Play Rate
"Anduin Banks",Movie Block (PC),Site,432,0.4722,0.2435,4.22,4.22,156,Meta Staple
"Anduin Banks",All Blocks (PC),Site,671,0.4560,0.1912,6.39,6.39,301,Meta Staple
"Summit of Amon Hen",Fellowship Block (PC),Site,600,0.4800,0.4380,3.16,3.16,65,Meta Staple
"Summit of Amon Hen",Movie Block (PC),Site,178,0.5449,0.1003,1.74,1.74,156,High Play Rate
"Summit of Amon Hen",All Blocks (PC),Site,778,0.4949,0.2217,7.41,7.41,301,Meta Staple
"Flaming Brand",Fellowship Block (PC),1,235,0.4383,0.1715,Unknown,Unknown,556,outlier
"Flaming Brand",Fellowship Block (PC),2,319,0.4859,0.2328,Unknown,Unknown,556,outlier
"Flaming Brand",Fellowship Block (PC),3,133,0.4887,0.0971,Unknown,Unknown,556,outlier
"Flaming Brand",Fellowship Block (PC),4,60,0.5333,0.0438,Unknown,Unknown,556,outlier
"Flaming Brand",Fellowship Block (PC),Any,747,0.4752,0.5453,Unknown,7.36,556,Meta Staple
"Flaming Brand",Movie Block (PC),1,59,0.2712,0.0333,Unknown,Unknown,1337,Redeemable?
"Flaming Brand",Movie Block (PC),2,16,0.5000,0.0090,Unknown,Unknown,1337,outlier
"Flaming Brand",Movie Block (PC),3,1,0.0000,0.0006,Unknown,Unknown,1337,Trash
"Flaming Brand",Movie Block (PC),Any,76,0.3158,0.0428,Unknown,1.40,1337,Redeemable?
"Flaming Brand",Expanded (PC),1,12,0.5833,0.0328,Unknown,Unknown,1848,outlier
"Flaming Brand",Expanded (PC),2,2,0.0000,0.0055,Unknown,Unknown,1848,Trash
"Flaming Brand",Expanded (PC),4,1,0.0000,0.0027,Unknown,Unknown,1848,Trash
"Flaming Brand",Expanded (PC),Any,15,0.4667,0.0410,Unknown,1.71,1848,High Play Rate
"Flaming Brand",All Blocks (PC),Any,838,0.4606,0.2387,Unknown,21.59,3741,Over Played?
"•Bill Ferny, Swarthy Sneering Fellow",Fellowship Block (PC),1,28,0.5000,0.0204,Unknown,Unknown,556,outlier
"•Bill Ferny, Swarthy Sneering Fellow",Fellowship Block (PC),2,26,0.5385,0.0190,Unknown,Unknown,556,outlier
"•Bill Ferny, Swarthy Sneering Fellow",Fellowship Block (PC),3,4,0.5000,0.0029,Unknown,Unknown,556,outlier
"•Bill Ferny, Swarthy Sneering Fellow",Fellowship Block (PC),Any,58,0.5172,0.0423,Unknown,0.57,556,Average
"•Bill Ferny, Swarthy Sneering Fellow",Expanded (PC),1,5,0.6000,0.0137,Unknown,Unknown,1848,outlier
"•Bill Ferny, Swarthy Sneering Fellow",Expanded (PC),Any,5,0.6000,0.0137,Unknown,0.57,1848,Sleeper or Niche Power Picks
"•Bill Ferny, Swarthy Sneering Fellow",Movie Block (PC),1,15,0.4000,0.0085,Unknown,Unknown,1337,outlier
"•Bill Ferny, Swarthy Sneering Fellow",Movie Block (PC),2,4,0.0000,0.0023,Unknown,Unknown,1337,Trash
"•Bill Ferny, Swarthy Sneering Fellow",Movie Block (PC),3,3,0.6667,0.0017,Unknown,Unknown,1337,outlier
"•Bill Ferny, Swarthy Sneering Fellow",Movie Block (PC),4,9,0.2222,0.0051,Unknown,Unknown,1337,Trash
"•Bill Ferny, Swarthy Sneering Fellow",Movie Block (PC),Any,31,0.3226,0.0175,Unknown,0.57,1337,Redeemable?
"•Bill Ferny, Swarthy Sneering Fellow",All Blocks (PC),Any,94,0.4574,0.0268,Unknown,2.42,3741,High Play Rate
"The Last Alliance of Elves and Men",Fellowship Block (PC),1,255,0.4706,0.1861,Unknown,Unknown,556,outlier
"The Last Alliance of Elves and Men",Fellowship Block (PC),2,369,0.5908,0.2693,Unknown,Unknown,556,outlier
"The Last Alliance of Elves and Men",Fellowship Block (PC),3,23,0.3043,0.0168,Unknown,Unknown,556,Redeemable?
"The Last Alliance of Elves and Men",Fellowship Block (PC),Any,647,0.5332,0.4723,Unknown,6.38,556,Meta Staple
"The Last Alliance of Elves and Men",Movie Block (PC),1,99,0.3939,0.0558,Unknown,Unknown,1337,Redeemable?
"The Last Alliance of Elves and Men",Movie Block (PC),2,46,0.2609,0.0259,Unknown,Unknown,1337,Redeemable?
"The Last Alliance of Elves and Men",Movie Block (PC),3,34,0.5294,0.0192,Unknown,Unknown,1337,outlier
"The Last Alliance of Elves and Men",Movie Block (PC),4,54,0.7037,0.0304,Unknown,Unknown,1337,outlier
"The Last Alliance of Elves and Men",Movie Block (PC),Any,233,0.4592,0.1313,Unknown,4.29,1337,Meta Staple
"The Last Alliance of Elves and Men",Expanded (PC),1,1,0.0000,0.0027,Unknown,Unknown,1848,Trash
"The Last Alliance of Elves and Men",Expanded (PC),2,2,0.5000,0.0055,Unknown,Unknown,1848,outlier
"The Last Alliance of Elves and Men",Expanded (PC),3,1,0.0000,0.0027,Unknown,Unknown,1848,Trash
"The Last Alliance of Elves and Men",Expanded (PC),Any,4,0.2500,0.0109,Unknown,0.46,1848,Redeemable?
"The Last Alliance of Elves and Men",All Blocks (PC),Any,884,0.5124,0.2519,Unknown,22.77,3741,Over Played?
"•Galadriel, Lady of Light",Fellowship Block (PC),1,158,0.4684,0.1153,Unknown,Unknown,556,outlier
"•Galadriel, Lady of Light",Fellowship Block (PC),2,59,0.5424,0.0431,Unknown,Unknown,556,outlier
"•Galadriel, Lady of Light",Fellowship Block (PC),3,108,0.6852,0.0788,Unknown,Unknown,556,outlier
"•Galadriel, Lady of Light",Fellowship Block (PC),Any,325,0.5538,0.2372,Unknown,3.20,556,Meta Staple
"•Galadriel, Lady of Light",Movie Block (PC),1,60,0.3000,0.0338,Unknown,Unknown,1337,Redeemable?
"•Galadriel, Lady of Light",Movie Block (PC),4,2,0.0000,0.0011,Unknown,Unknown,1337,Trash
"•Galadriel, Lady of Light",Movie Block (PC),Any,62,0.2903,0.0349,Unknown,1.14,1337,Redeemable?
"•Galadriel, Lady of Light",Expanded (PC),1,2,1.0000,0.0055,Unknown,Unknown,1848,All it does is Win
"•Galadriel, Lady of Light",Expanded (PC),Any,2,1.0000,0.0055,Unknown,0.23,1848,All it does is Win
"•Galadriel, Lady of Light",All Blocks (PC),Any,389,0.5141,0.1108,Unknown,10.02,3741,Over Played?
"•Gwemegil",Fellowship Block (PC),1,395,0.5038,0.2883,Unknown,Unknown,556,outlier
"•Gwemegil",Fellowship Block (PC),2,115,0.4957,0.0839,Unknown,Unknown,556,outlier
"•Gwemegil",Fellowship Block (PC),3,1,0.0000,0.0007,Unknown,Unknown,556,Trash
"•Gwemegil",Fellowship Block (PC),Any,511,0.5010,0.3730,Unknown,5.04,556,Meta Staple
"•Gwemegil",Movie Block (PC),1,208,0.3798,0.1172,Unknown,Unknown,1337,Redeemable?
"•Gwemegil",Movie Block (PC),2,98,0.5306,0.0552,Unknown,Unknown,1337,outlier
"•Gwemegil",Movie Block (PC),3,3,0.3333,0.0017,Unknown,Unknown,1337,Redeemable?
"•Gwemegil",Movie Block (PC),4,1,1.0000,0.0006,Unknown,Unknown,1337,All it does is Win
"•Gwemegil",Movie Block (PC),Any,310,0.4290,0.1747,Unknown,5.71,1337,Meta Staple
"•Gwemegil",Expanded (PC),1,12,0.6667,0.0328,Unknown,Unknown,1848,outlier
"•Gwemegil",Expanded (PC),2,2,0.5000,0.0055,Unknown,Unknown,1848,outlier
"•Gwemegil",Expanded (PC),Any,14,0.6429,0.0383,Unknown,1.60,1848,Standard Power Picks
"•Gwemegil",All Blocks (PC),Any,835,0.4766,0.2379,Unknown,21.51,3741,Over Played?
"Citadel of Minas Tirith",Fellowship Block (PC),1,11,0.4545,0.0080,Unknown,Unknown,556,outlier
"Citadel of Minas Tirith",Fellowship Block (PC),2,15,0.4000,0.0109,Unknown,Unknown,556,outlier
"Citadel of Minas Tirith",Fellowship Block (PC),3,1,1.0000,0.0007,Unknown,Unknown,556,All it does is Win
"Citadel of Minas Tirith",Fellowship Block (PC),4,1,0.0000,0.0007,Unknown,Unknown,556,Trash
"Citadel of Minas Tirith",Fellowship Block (PC),Any,28,0.4286,0.0204,Unknown,0.28,556,Low Play Rate
"Citadel of Minas Tirith",Expanded (PC),1,1,1.0000,0.0027,Unknown,Unknown,1848,All it does is Win
"Citadel of Minas Tirith",Expanded (PC),2,7,0.2857,0.0191,Unknown,Unknown,1848,Redeemable?
"Citadel of Minas Tirith",Expanded (PC),3,1,1.0000,0.0027,Unknown,Unknown,1848,All it does is Win
"Citadel of Minas Tirith",Expanded (PC),4,7,0.8571,0.0191,Unknown,Unknown,1848,All it does is Win
"Citadel of Minas Tirith",Expanded (PC),Any,16,0.6250,0.0437,Unknown,1.83,1848,Standard Power Picks
"Citadel of Minas Tirith",Movie Block (PC),1,3,0.3333,0.0017,Unknown,Unknown,1337,Redeemable?
"Citadel of Minas Tirith",Movie Block (PC),2,13,0.2308,0.0073,Unknown,Unknown,1337,Trash
"Citadel of Minas Tirith",Movie Block (PC),3,6,0.1667,0.0034,Unknown,Unknown,1337,Trash
"Citadel of Minas Tirith",Movie Block (PC),4,3,0.6667,0.0017,Unknown,Unknown,1337,outlier
"Citadel of Minas Tirith",Movie Block (PC),Any,25,0.2800,0.0141,Unknown,0.46,1337,Redeemable?
"Citadel of Minas Tirith",All Blocks (PC),Any,69,0.4203,0.0197,Unknown,1.78,3741,High Play Rate
"•The Balrog, Durin's Bane",Fellowship Block (PC),1,329,0.4833,0.2401,Unknown,Unknown,556,outlier
"•The Balrog, Durin's Bane",Fellowship Block (PC),2,6,0.3333,0.0044,Unknown,Unknown,556,Redeemable?
"•The Balrog, Durin's Bane",Fellowship Block (PC),3,9,0.1111,0.0066,Unknown,Unknown,556,Trash
"•The Balrog, Durin's Bane",Fellowship Block (PC),Any,344,0.4709,0.2511,Unknown,3.39,556,Meta Staple
"•The Balrog, Durin's Bane",Movie Block (PC),1,48,0.3958,0.0271,Unknown,Unknown,1337,Redeemable?
"•The Balrog, Durin's Bane",Movie Block (PC),Any,48,0.3958,0.0271,Unknown,0.88,1337,Redeemable?
"•The Balrog, Durin's Bane",All Blocks (PC),Any,392,0.4617,0.1117,Unknown,10.10,3741,Over Played?
"•Ulaire Otsea, Ringwraith in Twilight",Fellowship Block (PC),1,16,0.5000,0.0117,Unknown,Unknown,556,outlier
"•Ulaire Otsea, Ringwraith in Twilight",Fellowship Block (PC),2,21,0.3810,0.0153,Unknown,Unknown,556,Redeemable?
"•Ulaire Otsea, Ringwraith in Twilight",Fellowship Block (PC),3,5,0.6000,0.0036,Unknown,Unknown,556,outlier
"•Ulaire Otsea, Ringwraith in Twilight",Fellowship Block (PC),4,1,1.0000,0.0007,Unknown,Unknown,556,All it does is Win
"•Ulaire Otsea, Ringwraith in Twilight",Fellowship Block (PC),Any,43,0.4651,0.0314,Unknown,0.42,556,Low Play Rate
"•Ulaire Otsea, Ringwraith in Twilight",Movie Block (PC),1,23,0.4783,0.0130,Unknown,Unknown,1337,outlier
"•Ulaire Otsea, Ringwraith in Twilight",Movie Block (PC),2,3,0.3333,0.0017,Unknown,Unknown,1337,Redeemable?
"•Ulaire Otsea, Ringwraith in Twilight",Movie Block (PC),4,6,0.3333,0.0034,Unknown,Unknown,1337,Redeemable?
"•Ulaire Otsea, Ringwraith in Twilight",Movie Block (PC),Any,32,0.4375,0.0180,Unknown,0.59,1337,Average
"•Ulaire Otsea, Ringwraith in Twilight",Expanded (PC),2,1,0.0000,0.0027,Unknown,Unknown,1848,Trash
"•Ulaire Otsea, Ringwraith in Twilight",Expanded (PC),3,2,0.5000,0.0055,Unknown,Unknown,1848,outlier
"•Ulaire Otsea, Ringwraith in Twilight",Expanded (PC),Any,3,0.3333,0.0082,Unknown,0.34,1848,Redeemable?
"•Ulaire Otsea, Ringwraith in Twilight",All Blocks (PC),Any,78,0.4487,0.0222,Unknown,2.01,3741,High Play Rate
"•Long-knives of Legolas",Fellowship Block (PC),1,319,0.3918,0.2328,Unknown,Unknown,556,Redeemable?
"•Long-knives of Legolas",Fellowship Block (PC),2,3,0.0000,0.0022,Unknown,Unknown,556,Trash
"•Long-knives of Legolas",Fellowship Block (PC),3,1,0.0000,0.0007,Unknown,Unknown,556,Trash
"•Long-knives of Legolas",Fellowship Block (PC),Any,323,0.3870,0.2358,Unknown,3.18,556,Redeemable?
"•Long-knives of Legolas",Movie Block (PC),1,176,0.3125,0.0992,Unknown,Unknown,1337,Redeemable?
"•Long-knives of Legolas",Movie Block (PC),2,15,0.4667,0.0085,Unknown,Unknown,1337,outlier
"•Long-knives of Legolas",Movie Block (PC),Any,191,0.3246,0.1077,Unknown,3.52,1337,Redeemable?
"•Long-knives of Legolas",Expanded (PC),1,8,0.6250,0.0219,Unknown,Unknown,1848,outlier
"•Long-knives of Legolas",Expanded (PC),Any,8,0.6250,0.0219,Unknown,0.91,1848,Sleeper or Niche Power Picks
"•Long-knives of Legolas",All Blocks (PC),Any,522,0.3678,0.1487,Unknown,13.45,3741,Redeemable?
"Morgul Gates",Fellowship Block (PC),1,17,0.4118,0.0124,Unknown,Unknown,556,outlier
"Morgul Gates",Fellowship Block (PC),2,146,0.5068,0.1066,Unknown,Unknown,556,outlier
"Morgul Gates",Fellowship Block (PC),3,60,0.4500,0.0438,Unknown,Unknown,556,outlier
"Morgul Gates",Fellowship Block (PC),4,99,0.4848,0.0723,Unknown,Unknown,556,outlier
"Morgul Gates",Fellowship Block (PC),Any,322,0.4845,0.2350,Unknown,3.17,556,Meta Staple
"Morgul Gates",Movie Block (PC),1,9,0.3333,0.0051,Unknown,Unknown,1337,Redeemable?
"Morgul Gates",Movie Block (PC),2,32,0.4063,0.0180,Unknown,Unknown,1337,outlier
"Morgul Gates",Movie Block (PC),3,8,0.2500,0.0045,Unknown,Unknown,1337,Redeemable?
"Morgul Gates",Movie Block (PC),4,4,0.7500,0.0023,Unknown,Unknown,1337,outlier
"Morgul Gates",Movie Block (PC),Any,53,0.3962,0.0299,Unknown,0.98,1337,Redeemable?
"Morgul Gates",Expanded (PC),3,1,0.0000,0.0027,Unknown,Unknown,1848,Trash
"Morgul Gates",Expanded (PC),Any,1,0.0000,0.0027,Unknown,0.11,1848,Trash
"Morgul Gates",All Blocks (PC),Any,376,0.4707,0.1071,Unknown,9.69,3741,Over Played?
"Nazgul Sword",Fellowship Block (PC),1,72,0.5833,0.0526,Unknown,Unknown,556,outlier
"Nazgul Sword",Fellowship Block (PC),2,72,0.3750,0.0526,Unknown,Unknown,556,Redeemable?
"Nazgul Sword",Fellowship Block (PC),3,8,0.2500,0.0058,Unknown,Unknown,556,Redeemable?
"Nazgul Sword",Fellowship Block (PC),4,9,0.6667,0.0066,Unknown,Unknown,556,outlier
"Nazgul Sword",Fellowship Block (PC),Any,161,0.4783,0.1175,Unknown,1.59,556,High Play Rate
"Nazgul Sword",Movie Block (PC),1,36,0.5000,0.0203,Unknown,Unknown,1337,outlier
"Nazgul Sword",Movie Block (PC),2,23,0.6522,0.0130,Unknown,Unknown,1337,outlier
"Nazgul Sword",Movie Block (PC),3,3,0.3333,0.0017,Unknown,Unknown,1337,Redeemable?
"Nazgul Sword",Movie Block (PC),4,9,0.2222,0.0051,Unknown,Unknown,1337,Trash
"Nazgul Sword",Movie Block (PC),Any,71,0.5070,0.0400,Unknown,1.31,1337,Average
"Nazgul Sword",All Blocks (PC),Any,232,0.4871,0.0661,Unknown,5.98,3741,Meta Staple
"•The Witch-king, Lord of Angmar",Fellowship Block (PC),1,17,0.5882,0.0124,Unknown,Unknown,556,outlier
"•The Witch-king, Lord of Angmar",Fellowship Block (PC),2,16,0.3125,0.0117,Unknown,Unknown,556,Redeemable?
"•The Witch-king, Lord of Angmar",Fellowship Block (PC),3,91,0.5495,0.0664,Unknown,Unknown,556,outlier
"•The Witch-king, Lord of Angmar",Fellowship Block (PC),4,62,0.6129,0.0453,Unknown,Unknown,556,outlier
"•The Witch-king, Lord of Angmar",Fellowship Block (PC),Any,186,0.5538,0.1358,Unknown,1.83,556,High Play Rate
"•The Witch-king, Lord of Angmar",Expanded (PC),1,2,0.5000,0.0055,Unknown,Unknown,1848,outlier
"•The Witch-king, Lord of Angmar",Expanded (PC),Any,2,0.5000,0.0055,Unknown,0.23,1848,Low Play Rate
"•The Witch-king, Lord of Angmar",Movie Block (PC),1,10,0.2000,0.0056,Unknown,Unknown,1337,Trash
"•The Witch-king, Lord of Angmar",Movie Block (PC),2,2,0.0000,0.0011,Unknown,Unknown,1337,Trash
"•The Witch-king, Lord of Angmar",Movie Block (PC),Any,12,0.1667,0.0068,Unknown,0.22,1337,Trash
"•The Witch-king, Lord of Angmar",All Blocks (PC),Any,200,0.5300,0.0570,Unknown,5.15,3741,Meta Staple
"It Wants to be Found",Fellowship Block (PC),1,1,1.0000,0.0007,Unknown,Unknown,556,All it does is Win
"It Wants to be Found",Fellowship Block (PC),2,2,0.5000,0.0015,Unknown,Unknown,556,outlier
"It Wants to be Found",Fellowship Block (PC),3,35,0.4286,0.0255,Unknown,Unknown,556,outlier
"It Wants to be Found",Fellowship Block (PC),4,112,0.4911,0.0818,Unknown,Unknown,556,outlier
"It Wants to be Found",Fellowship Block (PC),Any,150,0.4800,0.1095,Unknown,1.48,556,Average
"It Wants to be Found",Expanded (PC),4,3,0.3333,0.0082,Unknown,Unknown,1848,Redeemable?
"It Wants to be Found",Expanded (PC),Any,3,0.3333,0.0082,Unknown,0.34,1848,Redeemable?
"It Wants to be Found",Movie Block (PC),1,4,0.2500,0.0023,Unknown,Unknown,1337,Redeemable?
"It Wants to be Found",Movie Block (PC),2,1,0.0000,0.0006,Unknown,Unknown,1337,Trash
"It Wants to be Found",Movie Block (PC),3,2,0.5000,0.0011,Unknown,Unknown,1337,outlier
"It Wants to be Found",Movie Block (PC),4,115,0.5217,0.0648,Unknown,Unknown,1337,outlier
"It Wants to be Found",Movie Block (PC),Any,122,0.5082,0.0688,Unknown,2.25,1337,High Play Rate
"It Wants to be Found",All Blocks (PC),Any,275,0.4909,0.0783,Unknown,7.08,3741,Meta Staple
"Wreathed in Shadow",Fellowship Block (PC),1,75,0.5333,0.0547,Unknown,Unknown,556,outlier
"Wreathed in Shadow",Fellowship Block (PC),2,32,0.5313,0.0234,Unknown,Unknown,556,outlier
"Wreathed in Shadow",Fellowship Block (PC),Any,107,0.5327,0.0781,Unknown,1.05,556,Average
"Wreathed in Shadow",Expanded (PC),1,5,0.4000,0.0137,Unknown,Unknown,1848,outlier
"Wreathed in Shadow",Expanded (PC),Any,5,0.4000,0.0137,Unknown,0.57,1848,Average
"Wreathed in Shadow",Movie Block (PC),1,3,0.3333,0.0017,Unknown,Unknown,1337,Redeemable?
"Wreathed in Shadow",Movie Block (PC),4,3,0.3333,0.0017,Unknown,Unknown,1337,Redeemable?
"Wreathed in Shadow",Movie Block (PC),Any,6,0.3333,0.0034,Unknown,0.11,1337,Redeemable?
"Wreathed in Shadow",All Blocks (PC),Any,118,0.5169,0.0336,Unknown,3.04,3741,Meta Staple
"•Ulaire Toldea, Messenger of Morgul",Fellowship Block (PC),1,77,0.4805,0.0562,Unknown,Unknown,556,outlier
"•Ulaire Toldea, Messenger of Morgul",Fellowship Block (PC),2,159,0.5157,0.1161,Unknown,Unknown,556,outlier
"•Ulaire Toldea, Messenger of Morgul",Fellowship Block (PC),3,33,0.6061,0.0241,Unknown,Unknown,556,outlier
"•Ulaire Toldea, Messenger of Morgul",Fellowship Block (PC),Any,269,0.5167,0.1964,Unknown,2.65,556,Meta Staple
"•Ulaire Toldea, Messenger of Morgul",Movie Block (PC),1,61,0.6721,0.0344,Unknown,Unknown,1337,outlier
"•Ulaire Toldea, Messenger of Morgul",Movie Block (PC),2,15,0.5333,0.0085,Unknown,Unknown,1337,outlier
"•Ulaire Toldea, Messenger of Morgul",Movie Block (PC),4,1,1.0000,0.0006,Unknown,Unknown,1337,All it does is Win
"•Ulaire Toldea, Messenger of Morgul",Movie Block (PC),Any,77,0.6494,0.0434,Unknown,1.42,1337,Standard Power Picks
"•Ulaire Toldea, Messenger of Morgul",Expanded (PC),2,3,0.6667,0.0082,Unknown,Unknown,1848,outlier
"•Ulaire Toldea, Messenger of Morgul",Expanded (PC),Any,3,0.6667,0.0082,Unknown,0.34,1848,Sleeper or Niche Power Picks
"•Ulaire Toldea, Messenger of Morgul",All Blocks (PC),Any,349,0.5473,0.0994,Unknown,8.99,3741,Over Played?
"•Ranger's Sword",Fellowship Block (PC),1,797,0.5031,0.5818,Unknown,Unknown,556,outlier
"•Ranger's Sword",Fellowship Block (PC),2,246,0.5528,0.1796,Unknown,Unknown,556,outlier
"•Ranger's Sword",Fellowship Block (PC),3,1,0.0000,0.0007,Unknown,Unknown,556,Trash
"•Ranger's Sword",Fellowship Block (PC),Any,1044,0.5144,0.7620,Unknown,10.29,556,Over Played?
"•Ranger's Sword",Movie Block (PC),1,195,0.3692,0.1099,Unknown,Unknown,1337,Redeemable?
"•Ranger's Sword",Movie Block (PC),2,1,1.0000,0.0006,Unknown,Unknown,1337,All it does is Win
"•Ranger's Sword",Movie Block (PC),Any,196,0.3724,0.1105,Unknown,3.61,1337,Redeemable?
"•Ranger's Sword",Expanded (PC),1,2,0.5000,0.0055,Unknown,Unknown,1848,outlier
"•Ranger's Sword",Expanded (PC),2,1,0.0000,0.0027,Unknown,Unknown,1848,Trash
"•Ranger's Sword",Expanded (PC),Any,3,0.3333,0.0082,Unknown,0.34,1848,Redeemable?
"•Ranger's Sword",All Blocks (PC),Any,1243,0.4916,0.3541,Unknown,32.02,3741,Over Played?
"•Ulaire Enquea, Lieutenant of Morgul",Fellowship Block (PC),1,269,0.5799,0.1964,Unknown,Unknown,556,outlier
"•Ulaire Enquea, Lieutenant of Morgul",Fellowship Block (PC),2,285,0.4000,0.2080,Unknown,Unknown,556,outlier
"•Ulaire Enquea, Lieutenant of Morgul",Fellowship Block (PC),3,119,0.5210,0.0869,Unknown,Unknown,556,outlier
"•Ulaire Enquea, Lieutenant of Morgul",Fellowship Block (PC),4,47,0.6809,0.0343,Unknown,Unknown,556,outlier
"•Ulaire Enquea, Lieutenant of Morgul",Fellowship Block (PC),Any,720,0.5056,0.5255,Unknown,7.10,556,Meta Staple
"•Ulaire Enquea, Lieutenant of Morgul",Movie Block (PC),1,379,0.4828,0.2136,Unknown,Unknown,1337,outlier
"•Ulaire Enquea, Lieutenant of Morgul",Movie Block (PC),2,312,0.4519,0.1759,Unknown,Unknown,1337,outlier
"•Ulaire Enquea, Lieutenant of Morgul",Movie Block (PC),3,88,0.4773,0.0496,Unknown,Unknown,1337,outlier
"•Ulaire Enquea, Lieutenant of Morgul",Movie Block (PC),4,31,0.3548,0.0175,Unknown,Unknown,1337,Redeemable?
"•Ulaire Enquea, Lieutenant of Morgul",Movie Block (PC),Any,810,0.4654,0.4566,Unknown,14.91,1337,Over Played?
"•Ulaire Enquea, Lieutenant of Morgul",Expanded (PC),1,44,0.4545,0.1202,Unknown,Unknown,1848,outlier
"•Ulaire Enquea, Lieutenant of Morgul",Expanded (PC),2,22,0.6818,0.0601,Unknown,Unknown,1848,outlier
"•Ulaire Enquea, Lieutenant of Morgul",Expanded (PC),3,2,0.5000,0.0055,Unknown,Unknown,1848,outlier
"•Ulaire Enquea, Lieutenant of Morgul",Expanded (PC),4,5,0.2000,0.0137,Unknown,Unknown,1848,Trash
"•Ulaire Enquea, Lieutenant of Morgul",Expanded (PC),Any,73,0.5068,0.1995,Unknown,8.34,1848,Over Played?
